movie_title,year_released,critic_rating,audience_rating,genres
Percy Jackson & the Olympians: The Lightning Thief,2010,49,53,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Please Give,2010,87,64,Comedy
10,1979,67,53,"Comedy, Romance"
12 Angry Men (Twelve Angry Men),1957,100,97,"Classics, Drama"
"20,000 Leagues Under The Sea",1954,89,74,"Action & Adventure, Drama, Kids & Family"
"10,000 B.C.",2008,8,37,"Action & Adventure, Classics, Drama"
The 39 Steps,1935,96,86,"Action & Adventure, Classics, Mystery & Suspense"
3:10 to Yuma,1957,96,79,"Classics, Drama, Western"
Charly (A Heartbeat Away),2002,20,87,"Comedy, Drama, Romance"
Abraham Lincoln,1930,82,40,"Classics, Drama"
Dark Water,2002,80,66,"Art House & International, Horror, Mystery & Suspense"
The Accused,1988,91,79,"Drama, Mystery & Suspense"
The Lost City,2005,25,64,Drama
The Breaking Point,1950,100,86,Drama
Adam's Rib,1949,96,86,"Classics, Comedy, Romance"
The Bridge of San Luis Rey,2005,4,35,"Art House & International, Drama, Faith & Spirituality"
The Prowler (Cost of Living ),1951,100,86,"Drama, Mystery & Suspense"
Criminal,2004,69,57,"Drama, Mystery & Suspense"
The Adventures of Mark Twain,1985,80,82,"Action & Adventure, Animation, Kids & Family"
Deep Blue,2005,67,80,"Documentary, Special Interest"
The Adventures of Robin Hood,1938,100,89,"Action & Adventure, Classics, Romance"
Man Hunt,1941,92,75,"Classics, Drama, Mystery & Suspense"
Dead End,2003,75,60,"Comedy, Horror, Mystery & Suspense"
Bandwagon,1997,80,91,Comedy
Whore,2004,0,63,"Art House & International, Drama"
Tristan & Isolde,2006,31,71,"Drama, Science Fiction & Fantasy, Romance"
Wild Side,2005,63,80,"Art House & International, Drama"
Running Scared,2006,41,79,"Action & Adventure, Drama, Mystery & Suspense"
Going the Distance,2004,0,61,Comedy
Ultraviolet,2006,8,30,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy"
Home of the Brave,2004,93,48,"Action & Adventure, Documentary, Drama, Special Interest"
Arthur and the Invisibles (Arthur and the Minimoys),2007,22,56,"Animation, Kids & Family, Science Fiction & Fantasy"
Malevolence,2004,33,83,Horror
Eternal,2004,21,39,"Horror, Mystery & Suspense"
A Farewell To Arms,1957,0,37,"Classics, Drama, Romance"
The Narrow Margin,1952,100,88,"Classics, Drama, Mystery & Suspense"
The Matador,2006,75,65,"Action & Adventure, Comedy, Drama, Mystery & Suspense"
Smile,2005,15,66,"Art House & International, Comedy, Drama"
The Intruder (L'Intrus),2005,87,73,"Art House & International, Drama"
Saint Ralph,2005,64,85,"Comedy, Drama"
The Baxter,2005,32,75,"Comedy, Romance"
Oliver Twist,2005,61,63,"Drama, Kids & Family"
The Alamo,1960,52,63,"Action & Adventure, Classics, Drama, Western"
G,2005,24,60,"Drama, Romance"
Alexander the Great,1956,0,42,Classics
Alfie,1966,96,76,"Classics, Comedy, Drama, Romance"
Neverwas,2005,14,65,"Drama, Mystery & Suspense"
The Second Chance,2006,44,78,"Drama, Faith & Spirituality"
Moonlight,2003,60,67,"Drama, Mystery & Suspense"
Aliens,1986,97,94,"Action & Adventure, Horror, Science Fiction & Fantasy"
Rise: Blood Hunter,2007,36,20,"Horror, Mystery & Suspense"
All About Eve,1950,99,94,"Classics, Drama"
When Do We Eat?,2006,42,68,Comedy
The Mostly Unfabulous Social Life of Ethan Green,2006,30,58,"Comedy, Drama"
Dirty,2006,21,42,Drama
Stay Alive,2006,10,55,"Horror, Mystery & Suspense"
All of Me,1984,85,67,"Comedy, Science Fiction & Fantasy"
Dreamland,2006,67,65,"Art House & International, Drama"
Independent Lens,2006,84,84,"Documentary, Special Interest"
All the King's Men,1949,95,78,"Classics, Drama"
Street Fight,2005,100,93,"Documentary, Special Interest"
Lost Horizon,1973,20,45,"Action & Adventure, Drama, Musical & Performing Arts, Science Fiction & Fantasy"
The Motel,2005,88,64,"Comedy, Drama"
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,81,80,"Documentary, Sports & Fitness"
Requiem,2006,86,66,"Art House & International, Drama, Horror, Mystery & Suspense"
Gui si (Silk),2006,40,57,"Art House & International, Horror, Mystery & Suspense"
Park,2006,36,48,"Art House & International, Comedy, Drama"
The 4th Dimension,2006,63,31,"Drama, Science Fiction & Fantasy"
"Bon Cop, Bad Cop",2006,78,82,"Action & Adventure, Comedy"
Amazing Grace,2007,67,85,"Drama, Mystery & Suspense"
Cocaine Cowboys,2006,69,79,Documentary
Gone,2007,54,20,"Horror, Mystery & Suspense"
The Situation,2006,35,58,"Drama, Mystery & Suspense"
Four Sheets to the Wind,2007,100,61,"Art House & International, Drama"
The Tiger's Tail,2006,14,30,"Comedy, Drama, Mystery & Suspense"
It's a Boy Girl Thing,2006,67,61,"Comedy, Romance"
Slipstream,2007,25,29,"Art House & International, Comedy, Drama, Science Fiction & Fantasy"
Delirious,2007,83,57,"Comedy, Drama"
Interview,2007,58,55,"Art House & International, Drama"
American Anthem,1986,0,65,"Action & Adventure, Documentary, Drama"
The Ten,2007,35,40,Comedy
The Happening,2008,17,24,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Molière,2007,69,79,Comedy
Straightheads (Closure),2007,40,32,"Drama, Mystery & Suspense"
Borderland,2007,100,43,"Drama, Horror, Mystery & Suspense"
Spiral,2007,55,59,"Drama, Mystery & Suspense"
Alexandra,2007,88,69,Drama
Blood and Tears: The Arab-Israeli Conflict,2007,50,33,Documentary
The Cool School,2008,92,63,"Documentary, Musical & Performing Arts"
Pathology,2008,45,39,"Drama, Mystery & Suspense"
Disney's A Christmas Carol,2009,52,58,"Animation, Drama, Kids & Family, Science Fiction & Fantasy"
Deep Water,2006,96,87,"Documentary, Special Interest"
Road to Victory,2007,78,78,"Art House & International, Drama, Sports & Fitness"
Beverly Hills Chihuahua,2008,40,52,Comedy
Fireflies in the Garden,2011,22,45,Drama
The Eye,2008,21,43,"Drama, Horror, Mystery & Suspense"
Day of the Dead,2008,13,22,"Horror, Mystery & Suspense"
My Best Friend's Girl,2008,14,46,"Comedy, Drama"
The Burrowers,2008,75,34,"Horror, Mystery & Suspense, Western"
The Midnight Meat Train,2008,73,50,"Drama, Horror, Mystery & Suspense"
The Lucky Ones,2008,37,54,"Comedy, Drama"
Run Fatboy Run,2007,47,64,Comedy
Closing Escrow,2007,54,36,Comedy
Whiteout,2009,7,21,"Action & Adventure, Drama, Mystery & Suspense"
Randy and the Mob,2007,56,39,"Comedy, Documentary"
Black Irish,2007,31,58,Drama
Wild Child,2008,41,61,Comedy
Powder Blue,2009,25,40,Drama
King Corn,2007,96,78,"Documentary, Musical & Performing Arts, Special Interest"
L' Avocat de la Terreur (Terror's Advocate),2007,87,67,"Art House & International, Documentary, Special Interest"
Darfur Now,2007,73,73,"Documentary, Drama, Musical & Performing Arts, Special Interest"
Laaga Chunari Mein Daag - Journey of a Woman,2007,50,58,"Art House & International, Drama"
Rails & Ties,2007,34,58,Drama
Mr. Untouchable,2007,73,54,Documentary
House,2008,0,27,"Drama, Horror, Mystery & Suspense"
Canvas,2007,78,62,Drama
Skid Row,2007,83,55,"Documentary, Special Interest"
Saawariya,2007,38,46,"Art House & International, Drama, Musical & Performing Arts, Romance"
Aaja Nachle,2007,67,72,"Art House & International, Drama, Musical & Performing Arts, Romance"
Flawless,2008,55,54,"Drama, Mystery & Suspense"
What Happens in Vegas,2008,26,65,"Comedy, Romance"
Appaloosa,2008,76,55,"Action & Adventure, Western"
Good,2008,32,32,Drama
The Visitor,2008,89,84,Drama
Meet Bill,2008,20,44,Comedy
Married Life,2008,54,36,"Comedy, Drama, Mystery & Suspense, Romance"
Badland,2007,16,54,Drama
The Oxford Murders,2010,17,33,"Art House & International, Drama, Horror, Mystery & Suspense"
Untraceable,2008,16,52,"Drama, Horror, Mystery & Suspense"
The Informers,2009,12,18,"Drama, Mystery & Suspense"
Meeting Resistance,2007,82,47,"Documentary, Special Interest"
The Freshman,1990,94,61,"Comedy, Drama"
Guta-yubalja-deul (A Bloody Aria),2006,42,40,"Art House & International, Drama, Mystery & Suspense"
Kenny,2008,100,86,Comedy
The Rocker,2008,41,46,"Comedy, Drama"
The Perfect Holiday,2007,19,52,"Kids & Family, Romance"
La Graine et le Mulet (The Secret of the Grain) (Couscous),2007,93,76,"Art House & International, Drama"
Land of the Lost,2009,26,32,"Action & Adventure, Comedy, Science Fiction & Fantasy"
[Rec],2007,89,82,"Art House & International, Horror, Special Interest"
Look,2007,60,56,"Comedy, Drama"
And God Created Woman,1988,38,33,"Classics, Comedy, Drama, Romance"
The Box,2009,44,24,"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Man in the Chair,2007,50,68,"Comedy, Drama"
Undoing,2006,31,26,"Drama, Mystery & Suspense"
Black Water,2008,80,39,"Horror, Mystery & Suspense"
21,2008,35,66,"Drama, Mystery & Suspense"
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),2007,70,52,"Art House & International, Drama, Romance"
Ben X,2007,68,80,"Art House & International, Drama, Mystery & Suspense"
Body of Lies,2008,55,62,"Drama, Mystery & Suspense"
Passengers,2008,19,35,"Drama, Mystery & Suspense"
The Grand,2008,40,43,Comedy
The Hammer,2007,80,90,Comedy
Shutter,2008,9,33,"Horror, Mystery & Suspense"
Priest,2011,15,46,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western"
The Escapist,2008,64,63,"Art House & International, Mystery & Suspense"
Sugar,2008,92,80,"Drama, Sports & Fitness"
Quid Pro Quo,2008,61,54,"Drama, Mystery & Suspense"
Red,2008,70,68,"Drama, Mystery & Suspense"
The Guitar,2008,33,55,Drama
The Road,2009,73,68,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
G-Force,2009,22,39,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy"
The Other Man,2008,15,18,Drama
The Duchess,2008,62,67,Drama
The Women,2008,14,38,"Comedy, Drama"
Public Enemies,2009,68,59,"Action & Adventure, Drama"
Night and Day (Bam gua nat),2009,93,68,"Art House & International, Drama"
Julia,2009,72,67,"Art House & International, Drama, Mystery & Suspense"
Angel and the Badman,1947,71,67,"Classics, Western, Romance"
Fade to Black,2006,29,34,Mystery & Suspense
Angel Heart,1987,79,81,"Drama, Mystery & Suspense"
Old Dogs,2009,5,44,"Comedy, Drama, Kids & Family"
Surrogates,2009,37,38,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy"
The Promotion,2008,53,28,Comedy
Notorious,2009,52,65,"Drama, Musical & Performing Arts"
Soul Men,2008,46,58,"Comedy, Musical & Performing Arts"
Igor,2008,39,38,"Animation, Comedy, Kids & Family"
The Matador,2008,73,65,"Documentary, Special Interest"
The Auteur,2008,67,41,Comedy
The Caller,2008,13,19,"Drama, Mystery & Suspense"
Sin Nombre,2009,88,89,"Drama, Mystery & Suspense"
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),2008,28,17,"Art House & International, Drama"
The Stone Angel,2007,44,58,Drama
Alvin and the Chipmunks: The Squeakquel,2009,20,49,"Animation, Comedy, Kids & Family"
Un Conte de Noël (A Christmas Tale),2008,86,66,"Art House & International, Comedy, Drama"
The Rebound,2009,41,46,"Comedy, Romance"
"1,000 Times Good Night",2014,71,65,Drama
Harold,2008,31,41,Comedy
Push,2009,23,42,"Mystery & Suspense, Science Fiction & Fantasy"
Felon,2008,63,82,"Action & Adventure, Drama, Mystery & Suspense"
Scar,2007,0,11,"Drama, Horror, Mystery & Suspense"
The Unborn,2009,10,30,"Horror, Mystery & Suspense"
Bitch Slap,2010,29,29,Action & Adventure
Forever Strong,2008,29,75,Drama
Chocolate,2008,74,73,"Action & Adventure, Art House & International"
Fireproof,2008,38,82,Drama
Dostana,2008,87,68,"Art House & International, Comedy"
The Garden,2008,79,85,"Documentary, Special Interest"
Splinter,2008,73,49,"Horror, Mystery & Suspense"
Leaves of Grass,2010,61,49,"Comedy, Drama, Mystery & Suspense"
Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),2008,78,71,Romance
The Proposal,2009,45,67,"Comedy, Romance"
Gigantic,2009,36,34,"Comedy, Romance"
Fuel,2008,72,82,"Documentary, Special Interest"
Hush,2009,50,37,Mystery & Suspense
Anna Karenina,1935,93,69,"Classics, Drama, Romance"
Orphan,2009,56,63,"Drama, Horror, Mystery & Suspense"
My Sister's Keeper,2009,48,72,Drama
The Hangover,2009,78,84,Comedy
The Stepfather,2009,11,35,"Horror, Mystery & Suspense"
Okuribito (Departures),2009,80,92,"Art House & International, Drama"
Boogie (Summer Holiday),2008,100,67,"Comedy, Drama"
Prima Ballerina,2009,81,100,"Art House & International, Special Interest"
Season of the Witch,2011,11,30,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy"
Shuttle,2009,50,36,Mystery & Suspense
Miss March,2009,5,29,Comedy
An American Affair,2009,16,41,"Drama, Mystery & Suspense"
Grace,2009,71,31,"Drama, Horror"
Endgame,2009,71,57,"Drama, Mystery & Suspense"
The Red Baron (Der rote Baron),2008,20,43,"Action & Adventure, Drama, Romance"
The Objective,2008,33,32,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Happy Tears,2010,27,21,"Comedy, Drama"
The Missing Person,2009,64,44,"Comedy, Drama, Mystery & Suspense"
Polanski (Polanski Unauthorized),2009,0,38,"Art House & International, Drama"
Mammoth (Mammut),2009,45,63,"Art House & International, Drama"
Crude,2009,95,85,"Documentary, Special Interest"
The Messenger,2009,90,75,"Drama, Romance"
Lake Mungo,2009,95,62,"Horror, Mystery & Suspense"
Venkovský Ucitel (The Country Teacher),2008,81,72,"Art House & International, Drama"
The Apartment,1960,93,94,"Classics, Comedy, Drama, Romance"
Chatham (The Golden Boys),2009,28,22,"Comedy, Romance"
